id;Permukiman (longitude);Permukiman (latitude);Hospital (longitude);Hospital (latitude);Jarak (km);Waktu Tempuh Jalan (menit)
1;110.417.564;-6.949.701;110.407.287;-6.994.579;5.98;71.64
2;110.436.245;-6.944.863;110.407.287;-6.994.579;7.55;90.47
3;110.331.582;-7.001.044;110.407.287;-6.994.579;9.79;117.42
4;110.439.481;-6.953.242;110.407.287;-6.994.579;6.62;79.4
5;110.439.649;-6.985.510;110.407.287;-6.994.579;4.27;51.18
6;110.389.140;-7.008.549;110.407.287;-6.994.579;3.35;40.15
7;110.444.056;-7.009.787;110.407.287;-6.994.579;5.04;60.43
8;110.428.590;-7.066.967;110.407.287;-6.994.579;10.51;126.02
9;110.442.840;-7.071.778;110.407.287;-6.994.579;11.49;137.79
10;110.424.858;-7.006.425;110.407.287;-6.994.579;2.93;35.13
