kelurahan;hospital;place_of_worship;school
Karangturi;2;14;8
Sukorejo;0;76;16
Gondorio;0;70;2
Plalangan;0;48;12
Mijen;0;38;2
Meteseh;0;108;18
Bendan Duwur;0;28;2
Mangunharjo;2;92;18
Karang Kidul;2;26;16
Genuksari;0;94;10
Gayamsari;2;48;16
Wringinjajar;0;0;0
Susukan;0;0;0
Penggaron Lor;0;52;6
Rejosari;2;42;18
Pedurungan Lor;0;52;10
Kembangarum;0;86;14
Tawangmas;0;36;12
Pudakpayung;0;112;12
Trimulyo;0;20;4
Sriwulan;0;0;0
Kedungsuren;0;0;0
Kalicari;0;48;20
Pekunden;6;18;6
Siwalan;0;32;6
Pandansari;0;18;3
Ngaliyan;2;68;8
Bendan Ngisor;0;17;8
Kaliwiru;0;6;4
Pindrikan Lor;0;18;13
Ngemplaksimongan;0;36;10
Mugassari;0;22;22
Sembungharjo;0;85;4
Sarirejo;0;26;12
Cepoko;0;32;6
Sadeng;2;52;10
Gajahmungkur;2;46;12
Panggung Kidul;0;30;10
Wonoplumbon;0;26;6
Banyumanik;0;42;9
Bangetayu Wetan;0;92;12
Mlatiharjo;2;16;10
Pedurungan Tengah;0;62;12
Barusari;2;16;8
Wates;0;54;8
Padangsari;0;34;8
Petompon;4;18;7
Gabahan;0;9;6
Lembangsari;0;14;6
Lempongsari;0;20;2
Penggaron Kidul;0;54;10
Bongsari;0;40;2
Gisikdrono;2;70;24
Tambakharjo;0;17;6
Polaman;0;24;10
Trisobo;0;0;0
Jatisari;0;48;10
Tlogosari Wetan;0;60;14
Karangmalang;0;32;4
Sekaran;0;90;9
Tegalsari;2;44;8
Peterongan;2;26;20
Bambankerep;0;40;6
Kalipuncur;0;91;18
Bandarjo;0;0;0
Beringin;0;84;6
Jatingaleh;0;28;16
Purwodinatan;0;34;26
Jagalan;0;27;6
Campurejo;0;0;0
Mangkang Wetan;0;34;14
Miroto;0;14;9
Tinjomoyo;0;64;10
Nolokerto;0;0;0
Karangroto;0;60;22
Banjarejo;0;0;0
Bugangan;2;10;12
Tembalang;2;38;2
Banyumeneng;0;0;0
Kandri;0;38;6
Sendangguwo;0;44;6
Bulusan;0;52;8
Wonosari;0;126;18
Kauman;0;12;4
Mluweh;0;0;0
Ngesrep;0;53;13
Palebon;2;74;18
Sampangan;0;40;14
Kudu;0;48;2
Kebonagung;0;18;4
Randugarut;0;16;4
Krapyak;0;32;4
Candi;0;40;8
Brumbungan;0;18;5
Gebangsari;0;28;12
Patemon;0;52;4
Jatirejo;0;20;4
Mororejo;0;0;0
Terboto Kulon;1;17;4
Tawangsari;0;32;11
Banjardowo;0;70;6
Kalibanteng Kidul;0;12;7
Karangtempel;0;5;16
Bangetayu Kulon;0;88;14
Kaligawe;0;28;2
Purwosari;0;66;12
Tambakrejo;0;36;10
Gemah;2;66;11
Jabungan;0;28;4
Lamper Kidul;0;19;10
Gedawang;0;90;16
Pasantren;0;16;0
Jerakah;0;22;5
Mlatibaru;0;20;10
Tlogosari Kulon;2;118;23
Pongangan;0;44;6
Plombokan;0;24;2
Mangunsari;0;44;6
Pandean Lamper;0;36;10
Kramas;0;18;2
Darupono;0;0;0
Tanjungmas;0;74;12
Pindrikan Kidul;0;16;10
Bandarharjo;0;60;10
Bangunharjo;0;18;8
Rowosari;0;78;18
Punggung Lor;0;28;12
Jetaksari;0;0;0
Tlogomulyo;0;78;10
Bulu Lor;0;40;12
Purwoyoso;0;80;17
Bendungan;0;12;2
Tugurejo;0;48;8
Ngijo;0;36;4
Lamper Lor;2;18;0
Kranggan;0;18;4
Bubakan;0;28;6
Mangkang Kulon;0;24;14
Srondol Kulon;0;46;9
Pedalangan;0;58;10
Kemijen;0;46;12
Dadapsari;0;30;8
Jamus;0;0;0
Sumberejo;0;2;0
Wonotingal;0;30;12
Kebonbatur;0;0;0
Karangayu;0;32;10
Nongkosawit;0;62;10
Sendangmulyo;3;164;26
Pedurungan Kidul;0;66;20
Ngabean;0;0;0
Sumurrejo;0;74;12
Bojongsalaman;0;16;10
Pleburan;0;30;12
Kalisegoro;0;12;2
Ngadirgo;0;42;12
Plamongansari;0;60;8
Rejomulyo;0;18;4
Salamanmloyo;0;20;5
Manyaran;0;70;8
Keji;0;0;0
Kedungmundu;1;54;8
Tambakaji;3;139;19
Muktiharjo Lor;0;18;2
Batursari;0;0;0
Leban;0;0;0
Terboyo Wetan;0;10;2
Randusari;2;42;8
Wonopolo;0;80;24
Kliris;0;0;0
Sumurboto;0;54;16
Kalisidi;0;0;0
Srondol Wetan;4;80;32
Cabean;0;10;4
Butustalan;0;24;4
Lamper Tengah;0;52;6
Jangli;0;22;4
Bandungrejo;0;0;0
Pakintelan;0;50;8
Jatibarang;0;22;6
Kuningan;0;42;12
Jomblang;0;85;20
Sambiroto;0;66;21
Gunungpati;0;82;14
Sekayu;0;10;14
Krobokan;0;57;8
Kalikayen;0;0;0
Cangkiran;0;32;6
Wonodri;0;36;10
Tambangan;2;40;6
Sawahbesar;0;24;6
Kalibanteng Kulon;2;10;8
Karanganyar;0;62;18
Muktiharjo Kidul;0;128;20
Tandang;0;88;16
Podorejo;0;74;14
Karangrejo;0;26;19
Lerep;0;0;0
Sayung;0;0;0
Sambirejo;0;51;14
Gedungpane;0;50;13
Total;66;7792;1748
