permukiman_coord;sekolah_terdekat;nama_sekolah
110.417564, -6.949701;110.42200587459732, -6.956364894126978;SD,  SMP Barunawati
110.436245, -6.944863;110.43794992312104, -6.948267960713241;SD Islam Taqwiyatul Wathon
110.331582, -7.001044;110.3385450298486, -7.007478168279898;SD Negeri Ngaliyan 05
110.439481, -6.953242;110.43905196560917, -6.952611351205361;SD Negeri Kemijen 06
110.439649, -6.98551;110.4398394913122, -6.984264677109923;SD Negeri Rejosari 02
110.38914, -7.008549;110.39007974860986, -7.007084692105519;Yayasan Pendidikan Islam Al - Madina Semarang
110.444056, -7.009787;110.44320239362594, -7.012091115292804;SD Negeri Jomblang 05
110.42859, -7.066967;110.42834574997985, -7.065175600032131;SD Negeri Pedalangan 01
110.44284, -7.071778;110.4362846843469, -7.068123252989191;SD Negeri Kramas
110.424858, -7.006425;110.42553805473769, -7.007484285552583;SD Negeri Tegalsari 01
